ibge7,mun,mun,nome_meso,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,leite,ovos,mel
3115904,Chácara,Chácara,Zona da Mata,0,0,37,0,0,0,3,0,0,0,7,0,0,0,0,0,3694,20,120
3116001,Chalé,Chalé,Zona da Mata,0,0,48,0,2860,3300,45,0,0,0,540,0,0,0,0,0,5765,94,0
3116100,Chapada do Norte,Chapada do Norte,Jequitinhonha,0,0,60,0,2,3780,35,5,0,0,446,0,0,0,0,0,610,94,9240
3116159,Chapada Gaúcha,Chapada Gaúcha,Norte de Minas,0,0,20,0,0,600,178,0,0,0,2610,33697,480,0,0,0,3653,38,13500
3116209,Chiador,Chiador,Zona da Mata,0,0,0,0,0,660,1,0,0,0,5,0,0,0,0,0,3040,8,0
3116308,Cipotânea,Cipotânea,Zona da Mata,0,0,502,0,0,60,224,0,0,0,1809,0,0,0,0,0,2735,37,0
3116407,Claraval,Claraval,Sul/Sudoeste de Minas,0,0,77,0,3270,8064,4,0,0,0,1288,0,0,0,0,0,2150,27,800
3116506,Claro dos Poções,Claro dos Poções,Norte de Minas,0,0,2560,0,3,17040,150,0,0,10,1486,0,52,28,30,0,1462,57,1005
3116605,Cláudio,Cláudio,Oeste de Minas,0,0,10,0,248,3452,95,0,0,0,3052,1406,0,0,350,0,23240,284,14510
3116704,Coimbra,Coimbra,Zona da Mata,0,0,450,0,725,756,967,60,0,0,4560,0,0,7,6400,0,3171,93,2800
