mun,nome_mun,nome_micro,nome_meso,sigla_uf,algodao,arroz,banana,cafe,cana,feijao,fumo,laranja,mandioca,milho,soja,tomate
2910750,Fátima,Ribeira do Pombal,Nordeste Baiano,BA,0,0,8,0,0,1080,1,10,30,2800,0,80
2910776,Feira da Mata,Bom Jesus da Lapa,Vale São-Franciscano da Bahia,BA,0,0,0,0,0,40,0,0,360,160,0,0
2910800,Feira de Santana,Feira de Santana,Centro Norte Baiano,BA,0,0,0,0,0,415,20,0,1500,700,0,0
2910859,Filadélfia,Senhor do Bonfim,Centro Norte Baiano,BA,0,0,0,0,0,84,0,0,280,165,0,0
2910909,Firmino Alves,Ilhéus-Itabuna,Sul Baiano,BA,0,0,15,0,0,0,0,0,55,0,0,0
2911006,Floresta Azul,Ilhéus-Itabuna,Sul Baiano,BA,0,0,44,0,0,0,0,0,68,0,0,0
2911105,Formosa do Rio Preto,Barreiras,Extremo Oeste Baiano,BA,214170,80,100,0,1400,16490,0,0,1400,275600,1653280,0
2911204,Gandu,Ilhéus-Itabuna,Sul Baiano,BA,0,0,9000,0,160,0,0,0,450,0,0,0
2911253,Gavião,Serrinha,Nordeste Baiano,BA,0,0,0,0,0,1,0,0,48,5,0,0
2911303,Gentio do Ouro,Irecê,Centro Norte Baiano,BA,0,0,550,0,225,75,0,4,560,65,0,0
2911402,Glória,Paulo Afonso,Vale São-Franciscano da Bahia,BA,0,0,6000,0,0,180,0,0,150,440,0,0
2911501,Gongogi,Ilhéus-Itabuna,Sul Baiano,BA,0,0,1000,4,10,0,0,0,155,0,0,0
2911600,Governador Mangabeira,Santo Antônio de Jesus,Metropolitana de Salvador,BA,0,0,10,0,0,240,650,5500,4000,170,0,0
2911659,Guajeru,Brumado,Centro Sul Baiano,BA,0,0,0,0,0,16,0,0,140,20,0,0
2911709,Guanambi,Guanambi,Centro Sul Baiano,BA,148,0,405,0,0,340,0,32,3400,315,0,400
2911808,Guaratinga,Porto Seguro,Sul Baiano,BA,0,0,2200,0,16000,100,0,0,3600,30,0,0
2911857,Heliópolis,Ribeira do Pombal,Nordeste Baiano,BA,0,0,18,0,0,132,0,0,300,1120,0,0
2911907,Iaçu,Itaberaba,Centro Norte Baiano,BA,0,0,250,0,0,50,0,0,200,2,0,20
2912004,Ibiassucê,Guanambi,Centro Sul Baiano,BA,0,0,30,0,1575,100,0,15,1000,165,0,0
2912103,Ibicaraí,Ilhéus-Itabuna,Sul Baiano,BA,0,0,250,0,0,0,0,0,50,0,0,0
2912202,Ibicoara,Seabra,Centro Sul Baiano,BA,0,0,800,5600,8000,300,0,240,120,650,0,55000
2912301,Ibicuí,Vitória da Conquista,Centro Sul Baiano,BA,0,0,200,38,170,90,0,10,350,120,0,40
2912400,Ibipeba,Irecê,Centro Norte Baiano,BA,0,0,28000,0,0,60,0,0,72,1080,0,115
2912509,Ibipitanga,Boquira,Centro Sul Baiano,BA,0,0,0,0,150,35,0,0,50,70,0,0
2912608,Ibiquera,Itaberaba,Centro Norte Baiano,BA,0,0,0,0,0,12,0,0,300,40,0,0
2912707,Ibirapitanga,Ilhéus-Itabuna,Sul Baiano,BA,0,0,8000,0,0,0,0,24,312,0,0,0
2912806,Ibirapuã,Porto Seguro,Sul Baiano,BA,0,0,50,0,680000,6,0,300,500,8,0,0
2912905,Ibirataia,Ilhéus-Itabuna,Sul Baiano,BA,0,0,550,4,250,0,0,80,140,0,0,0
2913002,Ibitiara,Boquira,Centro Sul Baiano,BA,0,0,16,1,225,34,0,10,1000,12,0,400
2913101,Ibititá,Irecê,Centro Norte Baiano,BA,0,0,240,0,0,36,0,0,128,2800,0,7440
2913200,Ibotirama,Barra,Vale São-Franciscano da Bahia,BA,0,0,166,0,20,185,0,0,750,178,0,0
2913309,Ichu,Serrinha,Nordeste Baiano,BA,0,0,0,0,0,1,0,0,14,5,0,0
2913408,Igaporã,Guanambi,Centro Sul Baiano,BA,0,0,40,1,1500,78,0,15,650,90,0,0
2913457,Igrapiúna,Valença,Sul Baiano,BA,0,0,1443,0,0,6,0,6,396,6,0,0
2913507,Iguaí,Vitória da Conquista,Centro Sul Baiano,BA,0,0,2400,116,1700,88,0,0,2100,118,0,92
2913606,Ilhéus,Ilhéus-Itabuna,Sul Baiano,BA,0,0,8990,0,1200,30,0,50,5400,20,0,0
2913705,Inhambupe,Alagoinhas,Nordeste Baiano,BA,0,0,270,0,0,1230,0,138240,18120,40000,0,0
2913804,Ipecaetá,Feira de Santana,Centro Norte Baiano,BA,0,0,0,0,0,250,15,0,40,360,0,0
2913903,Ipiaú,Ilhéus-Itabuna,Sul Baiano,BA,0,0,1250,15,300,0,0,0,1000,66,0,0
2914000,Ipirá,Feira de Santana,Centro Norte Baiano,BA,0,0,0,0,0,208,0,0,0,144,0,0
2914109,Ipupiara,Boquira,Centro Sul Baiano,BA,0,0,88,0,78,82,0,0,200,288,0,0
2914208,Irajuba,Jequié,Centro Sul Baiano,BA,0,0,25,34,0,10,0,0,2300,30,0,0
2914307,Iramaia,Jequié,Centro Sul Baiano,BA,0,0,91,155,300,34,0,0,600,221,0,200
2914406,Iraquara,Irecê,Centro Norte Baiano,BA,0,4,3105,508,3000,98,0,80,1235,240,0,6930
2914505,Irará,Feira de Santana,Centro Norte Baiano,BA,0,0,0,0,0,360,35,60,5000,415,0,0
2914604,Irecê,Irecê,Centro Norte Baiano,BA,0,0,36,0,0,54,0,0,0,432,0,162
2914653,Itabela,Porto Seguro,Sul Baiano,BA,0,0,5500,0,12000,14,0,44,1200,50,0,0
2914703,Itaberaba,Itaberaba,Centro Norte Baiano,BA,0,0,400,0,0,70,0,0,230,100,0,20
2914802,Itabuna,Ilhéus-Itabuna,Sul Baiano,BA,0,0,89,0,0,0,0,0,336,15,0,0
2914901,Itacaré,Ilhéus-Itabuna,Sul Baiano,BA,0,0,1420,0,1500,0,0,0,2850,9,0,0
2915007,Itaeté,Seabra,Centro Sul Baiano,BA,0,0,0,0,0,18,0,0,400,100,0,20
2915106,Itagi,Jequié,Centro Sul Baiano,BA,0,0,1300,5,150,86,0,0,1300,125,0,60
2915205,Itagibá,Ilhéus-Itabuna,Sul Baiano,BA,0,0,440,0,80,0,0,15,363,0,0,0
2915304,Itagimirim,Porto Seguro,Sul Baiano,BA,0,0,400,0,1400,6,0,0,710,0,0,0
2915353,Itaguaçu da Bahia,Barra,Vale São-Franciscano da Bahia,BA,8,0,365,0,0,100,0,4,1690,1188,0,210
2915403,Itaju do Colônia,Ilhéus-Itabuna,Sul Baiano,BA,0,0,0,0,0,0,0,0,0,0,0,0
2915502,Itajuípe,Ilhéus-Itabuna,Sul Baiano,BA,0,0,5400,0,700,0,0,0,1200,80,0,0
2915601,Itamaraju,Porto Seguro,Sul Baiano,BA,0,0,2520,0,2000,39,0,94,2380,60,0,0
2915700,Itamari,Ilhéus-Itabuna,Sul Baiano,BA,0,0,4000,10,0,28,0,10,300,5,0,0
2915809,Itambé,Itapetinga,Centro Sul Baiano,BA,0,0,1200,240,600,30,0,0,1200,80,0,0
2915908,Itanagra,Catu,Metropolitana de Salvador,BA,0,0,0,0,0,2,0,0,280,10,0,0
2916005,Itanhém,Porto Seguro,Sul Baiano,BA,0,0,1200,0,12000,30,0,25,1500,40,0,0
2916104,Itaparica,Salvador,Metropolitana de Salvador,BA,0,0,50,0,0,0,0,0,80,0,0,0
2916203,Itapé,Ilhéus-Itabuna,Sul Baiano,BA,0,0,59,0,229,0,0,0,0,0,0,0
2916302,Itapebi,Ilhéus-Itabuna,Sul Baiano,BA,0,0,340,0,6000,6,0,0,120,14,0,0
2916401,Itapetinga,Itapetinga,Centro Sul Baiano,BA,0,0,0,0,30,1,0,0,80,0,0,0
2916500,Itapicuru,Ribeira do Pombal,Nordeste Baiano,BA,0,0,250,0,0,210,0,17500,2350,12000,0,0
2916609,Itapitanga,Ilhéus-Itabuna,Sul Baiano,BA,0,0,300,0,200,5,0,0,0,8,0,0
2916708,Itaquara,Jequié,Centro Sul Baiano,BA,0,0,67,5,10,24,0,25,120,40,0,720
